year,word,tf,idf,tfidf,rank
1997,vietnamese,0.0003367,3.044522438,0.001025092,1
1997,arrived,0.00040404,2.351375257,0.000950051,2
1997,language,0.001212121,0.741937345,0.000899318,3
1997,twenty,0.00026936,3.044522438,0.000820073,4
1997,houscom,0.00026936,3.044522438,0.000820073,4
1997,sar,0.001279461,0.559615788,0.000716007,6
1997,textile,0.00026936,2.351375257,0.000633367,7
1997,refugees,0.00026936,2.351375257,0.000633367,7
1997,icac,0.00040404,1.435084525,0.000579832,9
1997,housing,0.003636364,0.15415068,0.000560548,10
1998,dbs,0.000394144,3.044522438,0.001199981,1
1998,aimed,0.000506757,2.351375257,0.001191575,2
1998,provisional,0.000394144,1.945910149,0.000766969,3
1998,described,0.000281532,1.945910149,0.000547835,4
1998,mothertongue,0.000225225,2.351375257,0.000529589,5
1998,techniques,0.000168919,3.044522438,0.000514277,6
1998,stimulate,0.000506757,0.965080896,0.000489061,7
1998,sandwich,0.000281532,1.658228077,0.000466843,8
1998,shall,0.000619369,0.741937345,0.000459533,9
1998,finalising,0.000225225,1.945910149,0.000438268,10
1998,nonetheless,0.000225225,1.945910149,0.000438268,10
1999,sar,0.001797325,0.559615788,0.001005812,1
1999,dongjiang,0.000475763,1.945910149,0.000925791,2
1999,ssds,0.000264313,3.044522438,0.000804705,3
1999,smoky,0.000317175,2.351375257,0.000745798,4
1999,sewerage,0.000317175,2.351375257,0.000745798,4
1999,turmoil,0.000740075,0.965080896,0.000714232,6
1999,momentous,0.00021145,3.044522438,0.000643764,7
1999,drinking,0.000317175,1.945910149,0.000617194,8
1999,lpg,0.0004229,1.435084525,0.000606897,9
1999,ethics,0.0004229,1.435084525,0.000606897,9
2000,reforms,0.002647585,0.405465108,0.001073503,1
2000,sar,0.001645796,0.559615788,0.000921013,2
2000,summing,0.000644007,1.098612289,0.000707514,3
2000,ec,0.000214669,3.044522438,0.000653565,4
2000,wto,0.000500894,1.098612289,0.000550289,5
2000,divide,0.000214669,2.351375257,0.000504767,6
2000,cfa,0.000214669,2.351375257,0.000504767,6
2000,approving,0.000214669,2.351375257,0.000504767,6
2000,reunification,0.000644007,0.741937345,0.000477813,9
2000,accession,0.000286225,1.658228077,0.000474627,10
2001,cyclical,0.000390016,2.351375257,0.000917073,1
2001,hardships,0.000468019,1.945910149,0.000910722,2
2001,biliteracy,0.000234009,3.044522438,0.000712447,3
2001,trilingualism,0.000234009,3.044522438,0.000712447,3
2001,thrust,0.000234009,3.044522438,0.000712447,3
2001,commitments,0.000468019,1.435084525,0.000671646,6
2001,soft,0.000468019,1.252762968,0.000586317,7
2001,firm,0.000390016,1.435084525,0.000559705,8
2001,restructuring,0.001950078,0.271933715,0.000530292,9
2001,confronted,0.000156006,3.044522438,0.000474964,10
2001,spends,0.000156006,3.044522438,0.000474964,10
2001,slowdown,0.000156006,3.044522438,0.000474964,10
2001,switched,0.000156006,3.044522438,0.000474964,10
2001,ratepayers,0.000156006,3.044522438,0.000474964,10
2001,tougher,0.000156006,3.044522438,0.000474964,10
2001,interrelated,0.000156006,3.044522438,0.000474964,10
2003,deficit,0.003936508,1.098612289,0.004324696,1
2003,sarg,0.000888889,3.044522438,0.002706242,2
2003,prd,0.002539683,0.741937345,0.001884285,3
2003,worsening,0.000507937,3.044522438,0.001546424,4
2003,macau,0.000634921,1.945910149,0.001235499,5
2003,rating,0.000507937,2.351375257,0.001194349,6
2003,cutting,0.000380952,3.044522438,0.001159818,7
2003,deflation,0.000634921,1.658228077,0.001052843,8
2003,t,0.000634921,1.435084525,0.000911165,9
2003,restructuring,0.003047619,0.271933715,0.00082875,10
2004,deflation,0.001390498,1.658228077,0.002305763,1
2004,l,0.001042874,1.658228077,0.001729322,2
2004,deficit,0.001506373,1.098612289,0.00165492,3
2004,revival,0.001042874,1.435084525,0.001496612,4
2004,sars,0.001158749,1.252762968,0.001451637,5
2004,cpg,0.000695249,1.945910149,0.001352892,6
2004,outbreak,0.000579374,1.945910149,0.00112741,7
2004,cpgs,0.000347625,3.044522438,0.001058351,8
2004,cepa,0.001158749,0.741937345,0.000859719,9
2004,peoplebased,0.000463499,1.658228077,0.000768588,10
2005,z,0.001047303,3.044522438,0.003188538,1
2005,doldrums,0.000349101,3.044522438,0.001062846,2
2005,panprd,0.000436376,1.945910149,0.000849149,3
2005,nullahs,0.000261826,3.044522438,0.000797135,4
2005,peoplebased,0.000436376,1.658228077,0.000723611,5
2005,cepa,0.000785477,0.741937345,0.000582775,6
2005,inadequacies,0.000349101,1.658228077,0.000578889,7
2005,deficit,0.000523652,1.098612289,0.00057529,8
2005,postrecovery,0.000174551,3.044522438,0.000531423,9
2005,constructionreal,0.000174551,3.044522438,0.000531423,9
2005,shaking,0.000174551,3.044522438,0.000531423,9
2005,confluence,0.000174551,3.044522438,0.000531423,9
2005,ah,0.000174551,3.044522438,0.000531423,9
2006,sar,0.00175989,0.559615788,0.000984862,1
2006,nonofficial,0.000382585,2.351375257,0.0008996,2
2006,panprd,0.000459102,1.945910149,0.000893371,3
